Id,Sentiment,Instagram Comment Text,cleaned_text,original_length,cleaned_length
97,negative,"Dasar plagiat semuanya, ga bisa kreatip.memalukab bgt",dasar plagiat semua bisa kreatip memalukab banget,7,7
98,negative,"Dan dengan begonya dia bilang ""apanya yang sama yaaa liriknya aja tentang percintaan gitu kok lagu saya"" bener2 tolol si ayu. Gapunya kuping apa y orang yg dipermasalahin nadanya ????????",dengan bego kata apa sama yaaa lirik tentang cinta gitu kok lagu benar bodoh si ayu tingting gapunya kuping apa y orang dipermasalahin nada,30,24
99,negative,Itu pacarnya anggel pietrs kali.... dan cowok itu juga masih bocah....  <USERNAME> yaelah jes.. terxta kelakuan mu sama aja sprti ayuting2 Hidupmu penuh dengan drama MURAHAN,pacar anggel pietrs kali cowok juga bocah username yaelah jes terxta laku mu sama sprti ayuting hidup penuh drama murah,26,20
100,negative,"japok gateeel emang,uda jelas dia ada main sama si mamad,sampe"" si jessica dimusuhin,deddy corbuzier aja jijik sama si japok semenjak nagita diundang di hitam putih berarti nagita cerita di belakang panggung,itu aja sih menurut gue",janda goda gateeel memang uda jelas ada main sama si raffi ahmad sampe si jessica dimusuhin deddy corbuzier jijik sama si janda goda semenjak nagita undang hitam putih arti nagita cerita belakang panggung saja sih saya,35,36
101,negative, <USERNAME> lebih memalukan anda buk ...ngomong pelakor emang ibuk udah pernah jadi pelakor ya kok bisa tau ayu pelakor wkwkwkwkwk. ..awas ibu nanti malah justru rumah tangga ibu yg dimasukin pelakor atau anaknya nanti jadi pelakor ..,username lebih malu buk bicara rebut laki orang memang ibuk pernah jadi rebut laki orang kok tau ayu tingting rebut laki orang wkwkwkwkwk awas ibu malah justru rumah tangga ibu dimasukin rebut laki orang anak jadi rebut laki orang,37,39
102,negative,Wah itu Kerdus mulutnya busuk...jangan jangan sampah makanannya,wah kerdus mulut busuk jangan jangan sampah makan,8,8
103,negative, <USERNAME> TAI loe di gedein bagus buat pupuk jngan bacot loe goblok !!! nih cewek knpa bawa2 suku ?,username tai kamu gedein bagus pupuk jngan banyak bicara kamu bodoh cewek knpa bawa suku,19,15
104,negative,LAH ELO ARTIS APAAN? PAPAN BLENYEK AJA BELAGU AMAT ARTIS APAAN KGA POPULER SAMA SEKALU HAHAHA,lah elo artis apa papan blenyek belagu artis apa kga populer sama sekalu haha,16,14
105,negative,ANANG MUKA NYA KAYA BABIII GITU AJA DI DEMENIN JIJIKK,anang muka nya kayak babiii gitu di demenin jijikk,10,9
106,negative,"Kalau ga suka sama ayu ting ting ga usah separah itu dong ngejudge nya. Punya HATI dan OTAK kan? Dia juga manusia punya kekurangan dan juga punya kelebihan dan dia juga punya perasaan. Jadi jangan seenak nya menjudge orang seperti itu, kaya udah SEMPURNA AJA LO!  <USERNAME>",kalau suka sama ayu tingting ting ting usah parah dongs ngejudge nya punya hati otak kan manusia punya kurang juga punya lebih dia juga punya asa jadi jangan enak nya menjudge orang itu kayak sempurna lo username,47,37
107,negative,"Ga pantes dipanggil ustad..org munafik ceramah sana sini org kelakuan sndr aja menzolimi istri sah nya dgn poligami diam2.kacian istri pertamanya,ga tw malu istri keduanya.. hadeh klo ada yg msh manggil dia bwt ceramah namanya bodo..",pantes panggil ustad orang munafik ceramah sana sini orang laku sndr menzolimi istri sah nya poligami diam kaci istri pertama tw malu istri dua hadeh kalau yang msh manggil bwt ceramah nama bodo,36,33
108,negative,Biadab!! Klo nanti anak lo di bully.. Gue mampusin ya!!!,biadab kalau anak lo bully mampusin,10,6
109,negative,"Dasar ANJING tuh cowok bukan org, berani sama cowok biasa one by one jangan sama yg lemah, dasar yah cowok2 jaman skrg, casing doank cowok, nyali nya lebih2 dari banci",dasar anjing cowok bukan orang berani sama cowok biasa one by one jangan sama lemah dasar cowok zaman sekarang casing doank cowok nyali nya lebih banci,30,26
110,negative," <USERNAME> iya kasian si micin?? padahal perusahan produk micin mengiklan kan kalo masak ""tambahkan micin biar tambah sedap"" netizen menyudutkan mecin seolah semua kebodohan orang yg punya gangguan jiwa ngemil micin??#justiceformicin",username iya kasi si micin padahal usah produk micin iklan kan kalau masak tambah micin biar tambah sedap netizen sudut mecin semua bodoh orang punya ganggu jiwa ngemil micin,31,29
111,negative,Wahh jngn2 ini Vidio lama...kok bajunya norak bngtt seorang ayuu...terlihat murahaan,wahh jngn vidio lama kok baju kampung bngtt orang ayuu lihat murahaan,11,12
112,negative, <USERNAME> bego lo ya,username bodoh lo,4,3
113,negative,Editan banget itu. Ya ampun si mommy lambe kehabisan gosib ya buat si pelakor ?????????,edit banget ampun si mommy lambe habis gosib ya untuk si rebut laki orang,15,14
114,negative,yah admin nya termasuk golongan pengonsumsi mecin dan pil pcc.. otak lu rusak min?,admin nya masuk golong konsumsi mecin pil pcc otak kamu rusak min,14,12
115,negative,cuma org govlok yg prcya ayu slgkuh sma rafi.buktinya rafi sma gigi skrg baek2 aja..dan ktamu ayu itu pelakor?? SUAMI Siapa yg d rebut woyy?? skrg ayu punya suami?? fikir pke otak mkanya jgn kbanyakan micin kan jdi govlok,cuma orang govlok prcya ayu tingting slgkuh sama raffi bukti raffi sama gigi sekarang baek dan ktamu ayu tingting rebut laki orang suami siapa di rebut woyy sekarang ayu tingting punya suami fikir pakai otak mkanya jangan kbanyakan micin kan jadi govlok,39,42
116,negative, <USERNAME> hoy barisan sakit hati ?? jijikk banget.. fans billy mah ALHAMDULILLAH bgt billy putus sama manusiaa buluk ituu... itu yg ditunggu lama2 akhiry putus juga.. dan sekarang kobil jg jijik sama ni orang :v,username hoy baris sakit hati jijikk banget fans billy mah alhamdulillah banget billy putus sama manusiaa buluk ituu yang tunggu lama akhiry putus dan sekarang kobil jijik sama ni orang v,35,31
117,negative,"MBA  <USERNAME> KALAU KAMU GAK NGERASA CINLOK SAMA BABANG ANTHONY TERUS KALIAN AWALNYA KETEMU DIMANA SIH? DI SINET BOY KAN? ALAH NGAKU AJAAA. BERARTI KAN MBA DUMANG CINLOK, JANGAN SOK2 BILANG GAK CINLOK ITU NAMANYA PEMBODOHAN . WAJAR DONG NETIZEN BILANG RATU CINLOK KENYATAAN EMANG YA KAN? JANGAN MARAH .... RESIKO JADI ARTIS HAHAHHAA PINTER2 YA MBA KALAU MAU CARI ALASAN HAHAHAHAHA",mbak username kalau kamu ngerasa cinlok sama babang anthony terus kalian awal ketemu sih set boy kan alah ngaku ajaaa arti kan mbak dumang cinlok jangan pura kata cinlok nama bodoh wajar dongs netizen kata ratu cinlok nyata memang kan jangan marah resiko jadi artis hahahhaa pinter mbak kalau mau cari alas hahahahaha,62,53
118,negative," <USERNAME> Noh urus tu kuin lu, biar ga gatel nempel2 ama laki orng, masyarakat udh tau kali japok gundik janda gatel,udh kenyataan nya begtu KATANYA ANAK SHOLEHAH AGAMA NYA KUAT TAPI MATA KULIAH AGAMA CMA DPT 1,KATANYA AGAMA NYA KUAT TPI HAMIL DI LUAR",username noh urus kuin kamu biar gatal nempel sama laki orng masyarakat tau kali janda goda selir janda gatal nyata nya begtu kata anak sholehah agama nya kuat mata kuliah agama cma kata agama nya kuat hamil luar,44,38
119,negative," <USERNAME> bilang tu sama kuin lu, jangan gesek grepe ama lakik orng, ga malu apa udh hamil di luar nikah, kegatelan amat jadi janda",username kata sama kuin kamu jangan gesek grepe sama lakik orng malu apa hamil luar nikah kegatelan jadi janda,24,19
120,negative," <USERNAME> please lo jangan bela pelakor,ini semua hukuman untuk si muljem karna uda tega recut suami sahabat sendiri,dia lagi menjalani sanksi sosialnya!! kenapa valakor mesti dibenci?? karna biar ga ada valakor"" lainnya di Indonesia,biar musnah sem",username please lo jangan bela rebut laki orang semua hukum si mulan jameela uda tega recut suami sahabat sendiri lagi jalan sanksi sosial rebut laki orang mesti benci biar ada rebut laki orang lain indonesia biar musnah sem,36,38
121,negative,"NAJIS. INI BARU MUAKK, MENJIJIKAN, PELAKOR. JIJIK",najis baru muakk jijik rebut laki orang jijik,7,8
122,negative,Semoga pelakor2 kena karma dan semoga dapat karma yg meninggalkan istrinya yg bwrjuang dg dia dr nol tp setelah sukses selingkuh dan sok jd penguasa ke istri ya..,moga rebut laki orang kena karma moga karma tinggal istri bwrjuang dia nol telah sukses selingkuh pura jadi kuasa istri,28,20
123,negative,Sedih ya skrg ngamen di kawinan org .. mantan istri mahhhh naik pesawat jet .. bhay pelakor n botakbego ??????,sedih sekarang ngamen kawin orang mantan istri mahhhh naik pesawat jet bhay rebut laki orang n botakbego,20,17
124,negative, <USERNAME> heeehh lo pelakornya yaaaakkk??? Ngapa lo jadi emosi??? Situuu kenal gw??? Kalo berani pake akun asli dong. Pantes pake akun bodong! Ngerebut laki orang juga diem2. ?????????? keceplosan yak pake aku bodong. Ngakak gueeee ?????????? lucu lo!,username heeehh lo pelakornya yaaaakkk ngapa lo jadi emosi situuu kenal kalau berani pakai akun asli dongs pantes pakai akun bodong ngerebut laki orang diam ceplos yak pakai bodong ngakak gueeee gemas lo,38,33
125,negative,Wkwkwkwk udh gak laku lagi jd nyanyi dhajatan si lonte pelakor,wkwkwkwk tidak laku jadi nyanyi dhajatan si lacur rebut laki orang,11,11
126,negative," <USERNAME> wakakak banyak lah cerita kyk gituu, buat pembelajaran aja.. jgn sampe ni swamik swamik lebih milih ke pelakor drpd istri pertama. Bakalan hancuuurr bookk ga bohong deh. Bakalan kere bakalan kismin bakalan nyungsep. Emang yg ngatur rezeki tu tuha",username wakakak banyak lah cerita kayak gituu ajar jangan sampe ni swamik swamik lebih milih rebut laki orang drpd istri pertama bakal hancuuurr bookk bohong deh bakal kere bakal kismin bakal nyungsep memang ngatur rezeki tuha,40,36
127,negative,Ini cwenya yg bego apa cwonya yg pinter ya ?! Emg lakinya kaya ?! Atau macho atau apa gitu plus nya ? Kayanya cuma jago gombal ?? atau maennya gesit ?! Ulala #ngakakabis,cwenya bodoh apa cwonya pinter emg laki kayak macho apa gitu plus nya kayak cuma jago gombal maennya gesit ulala,33,20
128,negative, <USERNAME> kamu itu yg bodoh! Ngapain keluarga depok komen org yg gak ada artinya lagi buat mereka??. ..cuma kalian aja yg hidupnya gak bahagia yg suka menghujat orang dan hidup artis ayu terlalu berpengaruh buat kamu!!. Emang dasar kamu benci ayu..klo,username kamu bodoh ngapain keluarga depok komen orang arti cuma kalian yang hidup tidak bahagia yang suka hujat orang hidup artis ayu tingting terlalu pengaruh untuk kamu memang dasar kamu benci ayu tingting kalau,41,34
129,negative, <USERNAME> saya mah lihat yg terlihat jelas.. bukan main prasangka kayak elu.elu itu haters kayak dukun...dukun titisan dajjal .. sok Pinter tapi otak kosong?????? sorry ye.. gue bala Nabi Muhammad yg percaya klo udh ditunjukkin 4 saksi Dan bukti.. klo,username mah lihat lihat jelas bukan main prasangka kayak elu elu haters kayak dukun dukun titis dajjal pura pinter otak kosong sorry ye bala nabi muhammad percaya kalau ditunjukkin saksi bukti kalau,40,32
130,negative,Mata ku sepet baca koment fans ubul empang ..minggir woy bikin rusuh aja nih jaer amis jijik sumpah.soal enji sm cewek lain ttp aja bala jaer nyampah bikin ribut .,mata ku sepet baca koment fans ubul empang minggir woy buat rusuh ini bela artis amis jijik sumpah soal enji sama cewek ttp bala bela artis nyampah buat ribut,30,29
131,negative,"Ini siapa sih si enji, hartis kah ? Males banget jijik laki model beginian mah gak ada tanggung jwbnya. Ayu bunting di tinggalin anak gak di akuin, skrg anak udh nongol bilqis cantek eh sampek bini nya ngeposting yg seolah enji kangen anaknya. Najonggg jijik betoll.. Dah deh min gak usah di bahas lagi laki macam begini, hartis aja bukan gak ada panutan yg bisa di ambil  <USERNAME>",siapa sih si enji artis males banget jijik laki model begini mah ada tanggung jwbnya ayu tingting bunting tinggalin anak akuin sekarang anak nongol bilqis cantek eh sampek bini nya ngeposting olah enji kangen anak najonggg jijik betoll dah deh min usah bahas laki macam begini artis bukan ada panutan bisa di ambil username,68,54
132,negative," <USERNAME> bego nya lagi pede amat ngomong seolah yg dia bilang paling bener, padahal bukti aja kaga ada. Mau keliatan pinter jatohnya bego??",username bodoh nya pede bicara yang kata paling benar padahal bukti kaga mau lihat pinter jatohnya bodoh,23,17
133,negative,Yang pada bilang enji ganteng bebas slingkuh bego kali. Ganteng pala lu bau menyan. Gada ganteng ganteng nya. Kebanyakan gaya kek mantan bini depok nya.,pada kata enji ganteng bebas slingkuh bodoh kali ganteng pala kamu bau menyan gada ganteng ganteng nya banyak gaya kayak mantan bini depok nya,25,24
134,negative,"Sebenarnye cocok enji sama att, sama sama GATEEEEL hahah pantesan si tongtong dipertemukan dgn enji, udh hukum alam klw jodoh kita cerminan diri kita, nah si entong hrsnya bekaca dgn masa lalu biar sadar tp teryata otak 1 M tetep mau di pertahankan jd skrg mlh menjadi jadi guatelnye, sama aja kek enji, hah",sebenarnye cocok enji sama ayutingting sama sama gateeeel hahah pantesan si tongtong temu enji hukum alam klw jodoh cermin diri nah si entong hrsnya bekaca masa lalu biar sadar teryata otak m tetep mau tahan jadi sekarang mlh jadi jadi guatelnye sama kayak enji hah,54,45
135,negative," <USERNAME> oalaahhh,, semakin banyak aja pelakor ?? laki nya jg kegatelan, tp namanya laki ibarat kucing di ksh ikan jaer gratis ya kga nolak wkwkkwkw",username oalaahhh makin banyak rebut laki orang laki nya kegatelan nama laki ibarat kucing ksh ikan bela artis gratis kga nolak wkwkkwkw,25,22
136,negative,"Begitulah laki2 ya sis, lebih suka pecun2 murahan, daripada prempuan baik2 berjilbab ato pintar. Enji2, kok downgrade sih? Dari pedangdut naik kelas prempuan berjilbab ehh milih sama pecun lagi.. jeleknya seleramu",begitu laki sis lebih suka perempuan curang murah prempuan baik jilbab pintar enji kok downgrade sih dangdut naik kelas prempuan jilbab ehh milih sama perempuan curang jelek selera,31,28
137,negative,Motorninja aj songong amat mba org yg punya mobil lamborgini aj biasa wae kok ????????,motorninja songong mbak orang punya mobil lamborgini biasa wae kok,15,10
138,negative,GoBlOk ?????? gua nonton berkali≤ kaget juga ??,bodoh gua nonton kali kaget,8,5
139,negative,"Ga usa pake anjing, babi!! ?????? kalo gw bls gitu wkwk",usa pakai anjing babi kalau bls gitu wkwk,11,8
140,negative,Oh ini toh yang kemaren TIDAK MENGHARGAI KARYA ORANG DAN SEENAKNYA BILANG JELEK BANGET... Aduh itu penganten perempuan nya KEKENYANGAN yah... Ampe kembung gitu perut nya... #pepuraLuGU,ini yang kemaren harga karya orang enak kata jelek banget aduh penganten perempuan nya kenyang ampe kembung gitu perut nya,27,20
141,negative,"Dari awal percaya gimik Raffi gigi dn att...sehingga att peserta keluarga di hujad dn anak ny...di hujad ...semakin kesini penonton semakin di bodohin?? semakin publik tertuju mereka ??????yg kasihan para penghujad ....ga apa"" lah ayu ga ada di pesbukers biar dia ngeluarkn album"" baru single baru setelah para artis halan"" keluar nengri gimik"" apa lagi yoo",awal percaya gimik raffi gigi dn ayutingting ayutingting serta keluarga hujad dn anak ny hujad makin kesini tonton makin bodohin makin publik tuju yang kasihan penghujad apa lah ayu tingting ada pesbukers biar ngeluarkn album baru single baru para artis hal keluar nengri gimik apa yoo,56,46
142,negative,"Kalo bener gimmick, bodoh banget si ayu cuma demi rating n popularitas berani taruhin harga dirinya buat di nilai buruk oleh mata masyarakat ????",kalau benar rekayasa bodoh banget si ayu tingting cuma rating n popularitas berani taruhin harga diri di nilai buruk mata masyarakat,24,21
143,negative,Susah otaknya diemvang mah bikin rusuh dilapak orang,susah otak diam mah buat rusuh lapak orang,8,8
144,negative,najiiisss kayak si mba dese ga gitu ajaaa. hahahahaha maling teriak maling. ngaca buuuuuk,najiiisss kayak si mbak dese gitu ajaaa hahahahaha maling teriak maling ngaca buuuuuk,14,13
145,negative, <USERNAME> IYAK KAA HAHAHAHAH geli bgt gasih sama att ih kampung abis:(((,username iyak kaa hahahahah geli banget gasih sama ayutingting ih kampung abis,12,12
146,negative,"JOGETNYA BIKIN NGAKAKKK ANJIRRRR, KAMPUNGAN BANGET??????  <USERNAME>  <USERNAME>",joget buat ngakakkk anjirrrr norak banget username username,8,8
147,negative,Bagus la gue berarti ada otak gak kayak lu malu maluin mak lu aja tong akun asli di pake tu yg namanya bego!  <USERNAME>,bagus la arti otak kayak kamu malu maluin mak kamu tong akun asli pakai yang nama bodoh username,24,18
148,negative,"Yg bego mah elu, ibu mana sih yg mau ngasih contoh buruk ke anaknya , pake mata lo, emg ada di dugem bawa anak , bego sih -_- jaman udah texas , dan gue jamin dijaman anaknya jga pasti udh lebih texas . Selagi ga ngerugiin lo yaudah . Sewot banget .",bodoh mah elu ibu mana sih mau ngasih contoh buruk anak pakai mata lo emg di dugem bawa anak bodoh sih zaman texas saya jamin jam anak jga sudah lebih texas tidak ngerugiin lo yaudah sewot banget,52,37
149,negative,"Si wanita jahiliyah.. Lesbi , skrg udh py pacar lg. Kasian anaknya. Kmrn di ksh bencana slnya dia tega misahin anak dr bapak nya, dia ktakutan anak nya masuk islam pdhl bp nya g prnh nuntut anaknya memeluk islam. Udh di ksh nikmat anak 3 org, msh aja begajulan.",si wanita jahiliyah lesbi sekarang py pacar kasi anak kemarin ksh bencana slnya tega misahin anak ayah nya ktakutan anak nya masuk islam padahal bp nya prnh nuntut anak peluk islam di ksh nikmat anak orang msh begajulan,49,38
150,negative, <USERNAME> gw tanya. Emang kador artis beneran? Komen lo tolol sumpah. Masa harus kenal dia buat nilai dia artis atau bukan. Hahaha semua org indo jg pasti setuju kalo kador bukan artis tp cuma celebgram dr kampung. Lo tau kan bedanya artis dg selebgra,username tanya memang kadir artis beneran komen lo bodoh sumpah masa kenal untuk nilai artis bukan haha semua orang indo pasti tuju kalau kadir bukan artis cuma selebriti instagram kampung lo tau kan beda artis selebgra,44,36
151,negative, <USERNAME> hahahaaaa trs gue tanya. Lo tolol? PAke nanya kador bencong atau ngga padahal blm kenal wkwkwkwkw. Eh semua org jg bisa nilai si kador bencong beneran dr gerak gerik melambay suara ngondek dan pake baju cewek begitu nyaman. Mana ada cowok tu,username hahahaaaa terus tanya lo bodoh pakai nanya kadir banci ngga padahal kenal wkwkwkwkw eh semua orang bisa nilai si kadir banci beneran gerak gerik melambay suara ngondek pakai baju cewek nyaman mana cowok,43,34
152,negative," <USERNAME> maklumin shaaay... Fans gatis keras itu otaknya bebel, realita seperti apa jg ga bakalan dia terima... Seperti halnya nagita itu artis uda dr jaman dia kecil eh di bilang numpang tenar ke rapi mamad,pdhl kan yg jadiin si mamad gede y PH n",username maklumin shaaay fans gatis keras otak bebel realita apa tidak bakal terima hal nagita artis uda zaman kecil eh kata numpang tenar rapi raffi ahmad padahal kan jadiin si raffi ahmad gede y ph n,44,36
153,negative, <USERNAME>.bee idih najong lu tag2 org! Nimbrung aja kek mujaer lo! Dia ga bakal terkenal klo ga bawa2 nama ayu ting ting sm nagita! Duh bego dipiara! Kesian,username bee idih najong kamu tanda orang nimbrung kayak puja artis lo bakal kenal kalau tidak bawa nama ayu tingting ting ting sama nagita duh bodoh piara kesi,28,28
154,negative,"langsung saja bilang siapa yg di maksud, klu gini namanya MUNAFIK!",langsung kata siapa di maksud klu gin nama munafik,11,9
155,negative,"Jedar emg muka 2 kali, didepan baik, dibelakang busuk, mulutnya kek banci cucoklah 2 banci tu",jedar emg muka kali depan baik belakang busuk mulut kayak banci cucoklah banci,16,13
156,negative,AMIT AMIT DEH ORANG JAHAT... PENJILAT PEMBOHONG PELAKOR JIJIK BANGET,amit amit deh orang jahat jilat bohong rebut laki orang jijik banget,10,12
157,negative,"Wkwkwkwk... Ya Allah ya Tuhan ku knp lah org2 munafik ni tp sok suci, mulan jamela kan ayu ting2 ngikuti jejak a bukan? Wkwkwk  <USERNAME>",wkwkwkwk allah tuhan ku lah orang munafik ni pura suci mulan jameela jamela kan ayu tingting ting ngikuti jejak a bukan wkwk username,25,23
158,negative,"Dlu si pelakor ini yg sombong krn brhasil dapetin si botak smpe mnceraikan bunda maya,skrg hdp ny mkin anjlok malah bunda maya yg sring jelong2 kluarnegri..??????",dlu si rebut laki orang sombong brhasil dapetin si botak smpe mnceraikan ibu maya sekarang hdp ny mkin anjlok malah ibu maya yang sring jelong kluarnegri,26,26
159,negative,Hahhahaha dan sesungguhnya allah swt melaknat wanita perebut dan pezina dengan suami sah oranglain ????????,hahhahaha sungguh allah swt laknat wanita rebut zina suami sah oranglain,15,11
160,negative,"@w.lina2706 hemmmm capekmiskin sist, skrg blik kere lg jd artis jg g laku, dah lah karma tu pasti ada...  <USERNAME> dr pada sirik nyinyirin nyonya, tuh bantuin jualan cireng nya tuh, cilok nya tuh untunnya buat liburan monaco, jangan bromo trus",lina hemmmm capekmiskin sist sekarang blik kere jadi artis tidak laku dah lah karma pasti username pada sirik cela nyonya bantu jual cireng nya cilok nya untun libur monaco jangan bromo terus,41,32
161,negative,Kepo juga sm nyonyiah lu jongos  <USERNAME> emng tetehlu pas hamil peak udeh dinikahin ?? Brojol anak br di sirih EMNG LONTEEEEE kelas akun jamahliur dan junjungan hehe ??????,kepo sama nyonyiah kamu jongos username memang tetehlu pas hamil peak udeh dinikahin brojol anak br sirih memang lonteeeee kelas akun jamahliur junjung hehe,29,24
162,negative,"Eh jongos cba gue duluan yg nanya sm lu .. emng nyonyiah ada gembar gembor udah nikah.. adakah nyonyiah ngaku udeh nikah ???? Dr pada tetehlu yg lonte perek itu tiba"" brojol dan ngaku nikah siri sm laki nyonyiah dan hamidun sapeak anak ilegal dibilng FITNA KEJI haha lonte menolak lupa xixix ??????  <USERNAME>",eh jongos cba duluan nanya sama kamu memang nyonyiah gembar gembor nikah ada nyonyiah ngaku udeh nikah pada tetehlu lacur perek tiba brojol ngaku nikah siri sama laki nyonyiah hamidun sapeak anak ilegal dibilng fitna jahat haha lacur tolak lupa xixix username,54,42
163,negative," <USERNAME> sini gua jawab currr ya bunmai sdh pernah nikah Tp sekarang janda dia janda karena suami nya di rampas Mulan jameela,menjijikkan banget ya Mulan jameela sblm rmh tangga bunmai hancur sdh berani bilang Dani suami bersama aduha udh wanita be",username sini gua jawab currr bunmai pernah nikah sekarang janda janda suami nya rampas mulan jameela jameela jijik banget mulan jameela jameela sblm rmh tangga bunmai hancur berani kata dan suami sama aduha wanita be,41,35
164,negative,"@w.lina2706  <USERNAME> lucu aja ya sist, lonte di bela2 mati2an... Guoblok di pelihara, di bayar berapa gt sama muljamban, sampe bikin account  <USERNAME> mau maia nikah atau blm nikah apa urusan situ, kelihatan nyinyirnya sirik nya. Sekarang balik",lina username gemas ya sist lacur bela mati guoblok pelihara bayar berapa gitu sama muljamban sampe buat account username mau maia nikah belum nikah apa urus situ lihat nyinyir sirik nya sekarang balik,38,33
165,negative,"Yaela muljem kyak stu bner aja. Gag inget apa udh ngrusak kbhagian klwrga org. Bego d prtahanin y gini ini,",yaela mulan jameela kyak stu benar gag inget apa ngrusak kbhagian klwrga orang bodoh prtahanin y gin,20,17
166,negative,Banyak lakik doyan banci! Jadi banci & kawinin banci.... jijik!,banyak lakik doyan banci jadi banci kawinin banci jijik,10,9
167,negative," <USERNAME> itu comment yg tidak anda lihat, ada brp banyak. Jangan jadi pengguna medsos yg bodoh jangan asal bunyi. Situ sehat pakai hijab masi nyinyir aja??",username komentar tidak lihat berapa banyak jangan jadi guna medsos bodoh jangan asal bunyi situ sehat pakai hijab mas cela,26,20
168,negative," <USERNAME> malu tuh sama kerudung kamu sayang, sama ibadah nya. Sholat aja drpd nyinyirin org dandanan udh sok suci mulut nya kaya sampah??",username malu sama kerudung kamu sayang sama ibadah nya sholat drpd cela orang dandan pura suci mulut nya kayak sampah,23,20
169,negative," <USERNAME> tolong di baca arti dr comment saya, udah kerdus+bodoh lg bilangin org tua nya besok kalo masak jangan pakai mecin, jd udah kerdungab ga sesuai mulut. Besok makan salmon kalo g mampu besok aku tak deliv ke rumahmu .",username di baca arti komentar kerdus bodoh bilangin orang tua nya besok kalau masak jangan pakai mecin jadi sudah kerdungab sesuai mulut besok makan salmon kalau mampu besok tak deliv rumah,40,31
170,negative,"Maaf mukanya jelek terus attitude nya buruk,,spesialis plagiat,,dan ketauan pula ,,,",maaf muka jelek terus attitude nya buruk spesialis plagiat tau,11,10
171,negative,"ini orang otaknya ga pernah di sekolahin ya? itu resiko ketika udah upload sesuatu di sosmed, ya pasti bakal dapet perbincangan dari netizen. public figure kok ga ada otaknya.",orang otak pernah sekolahin itu resiko sudah unggah di sosmed pasti bakal bincang netizen public figure kok ada otak,29,19
172,negative,Artis kampungan wkwk,artis norak wkwk,3,3
173,negative,"Iyaaa gue pernah pacaran? Udah nikah malah, tapi gak seNORAK eloo.. Gak risih emang? Jgn asal aplod, Perhatiin followers lu yg lumayan banyak itu, tar kebawa norak.",iyaaa pernah pacar nikah malah norak eloo tidak risih memang jangan asal aplod perhati followers kamu lumayan banyak tar bawa kampung,27,21
174,negative,y ampun pnyanyi dangdut kurang tenar songong bangt BACOTNYA ??pngn nyari sensasi tapi kmpungan bangt deh amit amit bool ko d instastory,y ampun pnyanyi dangdut kurang tenar songong bangt bacot pngn nyari sensasi kmpungan bangt deh amit amit bool ko instastory,22,20
175,negative,Waaaaoooo..sopan sekali.. bahasami menunjukkan kelasmu !!! Heeeehh.. yg repot ama hidup lu siapahh ?? Elu live nampilin hal2 gak penting..yg nggilanikk.. menjijikkan..diliat org banyak.. ya pantes lah dikomen..klo gak mw dikomen videoin pribadi aja.. nonton sendiri lu ama kluarga lu di rmh.. nambah lagi niy ertong yg gak pny attutude!! Kampungan!!,waaaaoooo sopan sekali bahasami tunjuk kelas heeeehh repot sama hidup kamu siapahh elu live nampilin penting nggilanikk jijik liat orang banyak pantes lah dikomen kalau tidak mw dikomen videoin pribadi nonton sendiri kamu sama kluarga kamu rmh nambah niy artis tidak pny attutude norak,51,44
176,negative,"Norak sih,kayak ga ada malunya.kl dia bilang terserah dia,ya udah,simpan fotonya.gak perlu dibagi kesemua orang.lah ini dipamer kemana,resikolah dinyinyiri orang.Insecure banget,kudu ya pamer2 gitu biar semua orang ngerti kl si mbaknya udh py pacar yg bisa dipamer2 pantatnya?Kampung bgt",kampung sih kayak ada malu kalau kata serah simpan foto perlu bagi semua orang lah pamer resiko nyinyir orang insecure banget kudu ya pamer gitu biar semua orang erti kalau si mbak py pacar bisa pamer pantat kampung banget,39,39
177,negative,Koq marah sehhh???dasar wanita kampungan...??,koq marah sehhh dasar wanita norak,5,6
178,negative,Kampungan.... Artis yg numpang tenar gara2 mukanya mirip Katy Perry doangÖ,norak artis numpang tenar gara muka mirip katy perry doang,11,10
179,negative,Susah kalo artis kampung,susah kalau artis kampung,4,4
180,negative,"Ah min, gue lama2 gak suka sama akun ini nih! Berita nya basi! Lo liat dong min.. itu si kellen sama amora lagi dateng.. pake ikut jingkrak2 kok!! Lo saring dulu dong min.. biar berita nya gak blunder.. lo posting juga tu KD udah posting videon kellen ma amora lagi joget2 ma si arsya arsyi!!",ah min lama suka sama akun ini berita nya basi lo lihat dongs min si kellen sama amora dateng pakai ikut jingkrak kok lo saring dulu dongs min biar berita nya blunder lo posting itu kd posting videon kellen ma amora joget ma si arsya arsyi,55,46
181,negative," <USERNAME> iya""km bening, kelewat bening jadi buluk kan ya mbak ?? mbaknya baru nelen apasih komen kaya gini? Apa baru kesurupan ?",username iya kamu bening lewat bening jadi buluk kan mbak mbak baru nelen apasih komen kayak gin apa baru surup,22,20
